analysis,mode,P_cr_lbf,P_cr_kips,sigma_cr_ksi,rigid_section_participation,U_mid,V_mid,theta_mid,twist_to_translation
global,1,160612.96841643224,160.61296841643224,109.38037368006354,1.0000000000000007,-0.0003036867718886756,0.07822693604711012,0.01685250784893182,0.735118953081315
global,2,413336.7923064167,413.3367923064167,281.4899272702139,0.9999999999999998,-0.0001517826014714453,-0.08029480090937693,0.0072135819985949595,0.30655997093536524
global,3,606555.1279604625,606.5551279604625,413.0751533204737,1.0000000000000004,4.3887859594605333e-10,2.7346112711486824e-11,6.309965466493826e-12,0.04896591024592512
global,4,637595.6528342791,637.5956528342791,434.2143193753612,1.0,-0.09587355689027693,-0.00017823769756091317,-4.8824358091777915e-5,0.0017377593209771875
all,1,101261.52791812386,101.26152791812386,68.96095547142251,0.012641288540965825,2.782583933773125e-12,6.978722045370023e-12,1.7549596353247307e-12,0.7970870997055662
all,2,106119.51392282668,106.11951392282668,72.26933293163604,0.005840530886767251,-0.0007788471488397268,-7.561233829206794e-5,-2.205896034927942e-5,0.09619410417663653
all,3,106267.72233760513,106.26772233760512,72.37026557705585,0.008650795664803496,-1.4927817647156363e-10,5.157136961842653e-11,1.5141534733833037e-12,0.03271471778607961
all,4,106771.58118779586,106.77158118779586,72.71340268397348,0.0019507880939087258,0.00033431074463354226,-9.436409656227501e-7,4.348537246717731e-6,0.04438577468375781
euler_composite,P_ey,351492.20485208917,351.4922048520892,239.37263031381426,,,,,
euler_composite,P_ex,772351.9304850288,772.3519304850288,525.9858129882356,,,,,
