analysis,mode,P_cr_lbf,P_cr_kips,sigma_cr_ksi,rigid_section_participation,U_mid,V_mid,theta_mid,twist_to_translation
global,1,52733.24651503519,52.73324651503519,35.91230687065328,1.0,-3.492969445549726e-5,0.0883774508629175,0.0011679230757451653,0.04509469039049868
global,2,110224.02419113544,110.22402419113544,75.06457961282085,1.0,-0.08096772397326207,-2.4543668956372642e-5,1.4735203461047811e-5,0.0006210075218166306
global,3,181977.70246074768,181.97770246074768,123.93014893409783,1.0,2.989164321856488e-13,7.862457092265318e-17,-7.045545006932574e-14,0.8042988790285833
global,4,327349.0660605254,327.34906606052544,222.9307105306997,1.0000000000000004,-0.00016946227587502036,0.0647775165688877,0.008308093057702037,0.437651324399608
all,1,49178.11881949381,49.17811881949381,33.49119978538709,0.9998248140429887,-3.4453122674366772e-6,0.01028718101536675,0.00020176430833698618,0.06692688494897887
all,2,102953.21354627404,102.95321354627404,70.11302437333397,0.05491858664560491,0.0009261637332170608,-3.465372767122151e-5,-1.5133641505864506e-5,0.05571915928602402
all,3,104018.08181201495,104.01808181201496,70.8382191690916,0.012965764092402413,4.927979809280287e-11,1.975617101518285e-11,8.531938452326981e-12,0.5483626772298326
all,4,105981.48206746137,105.98148206746137,72.1753307095959,0.9996529396481005,-0.010324608349020516,-1.9937197685231917e-6,1.5993051328719722e-6,0.0005285796166441353
euler_composite,P_ey,47256.174207891985,47.25617420789199,32.18232029774614,,,,,
euler_composite,P_ex,103838.42620965386,103.83842620965386,70.71587041286277,,,,,
