shape,i,j,x,y,z,ux,uy,uz
1.0,1.0,1.0,2.926114080316483,2.213114080316483,0.0,0.0,0.0,-0.00017474299759868527
1.0,2.0,1.0,2.926114080316483,2.350864080316483,0.0,0.0,0.0,-0.0002106984908885098
1.0,3.0,1.0,2.926114080316483,2.488614080316483,0.0,0.0,0.0,-0.00024659632515109883
1.0,4.0,1.0,2.926114080316483,2.626364080316483,0.0,0.0,0.0,-0.0002824660109281115
1.0,5.0,1.0,2.9262281606329656,2.7612108185127324,0.0,0.0,0.0,-0.00031755914052246267
1.0,6.0,1.0,2.918185199544742,2.8141698042120584,0.0,0.0,0.0,-0.00033138473871190404
1.0,7.0,1.0,2.8951706892935642,2.859335698724533,0.0,0.0,0.0,-0.0003432720468228838
1.0,8.0,1.0,2.859335698724533,2.8951706892935642,0.0,0.0,0.0,-0.0003527964825216336
1.0,9.0,1.0,2.814169804212059,2.918185199544742,0.0,0.0,0.0,-0.00035902606478216317
1.0,10.0,1.0,2.761210818512732,2.9262281606329656,0.0,0.0,0.0,-0.0003613908831609699
1.0,11.0,1.0,2.113614080316483,2.926114080316483,0.0,0.0,0.0,-0.000364550030735323
1.0,12.0,1.0,1.4631140803164828,2.926114080316483,0.0,0.0,0.0,-0.00036768591160040603
1.0,13.0,1.0,0.8126140803164827,2.926114080316483,0.0,0.0,0.0,-0.000370896570227668
1.0,14.0,1.0,0.16501734212023322,2.9262281606329656,0.0,0.0,0.0,-0.0003743604351109112
1.0,15.0,1.0,0.11205835642090678,2.918185199544742,0.0,0.0,0.0,-0.0003725934350464048
1.0,16.0,1.0,0.06689246190843257,2.8951706892935642,0.0,0.0,0.0,-0.0003669374740865598
1.0,17.0,1.0,0.0310574713394014,2.859335698724533,0.0,0.0,0.0,-0.0003579370824600017
1.0,18.0,1.0,0.008042961088223777,2.8141698042120584,0.0,0.0,0.0,-0.0003464718020505193
1.0,19.0,1.0,0.0,2.7612108185127324,0.0,0.0,0.0,-0.00033292792629539364
1.0,20.0,1.0,0.0001140803164827453,2.113614080316483,0.0,0.0,0.0,-0.00016694429736138005
1.0,21.0,1.0,0.0001140803164827453,1.4631140803164828,0.0,0.0,0.0,-4.00795911576493e-7
1.0,22.0,1.0,0.0001140803164827453,0.8126140803164827,0.0,0.0,0.0,0.00016613980553851923
1.0,23.0,1.0,0.0,0.16501734212023322,0.0,0.0,0.0,0.0003321149901722084
1.0,24.0,1.0,0.008042961088223777,0.11205835642090678,0.0,0.0,0.0,0.0003456596369520849
1.0,25.0,1.0,0.0310574713394014,0.06689246190843257,0.0,0.0,0.0,0.0003571287971611533
1.0,26.0,1.0,0.06689246190843257,0.0310574713394014,0.0,0.0,0.0,0.000366135579399051
1.0,27.0,1.0,0.11205835642090678,0.008042961088223777,0.0,0.0,0.0,0.0003717996141533284
1.0,28.0,1.0,0.16501734212023322,0.0,0.0,0.0,0.0,0.0003735758471975662
1.0,29.0,1.0,0.8126140803164827,0.0001140803164827453,0.0,0.0,0.0,0.00037022138904879346
1.0,30.0,1.0,1.4631140803164828,0.0001140803164827453,0.0,0.0,0.0,0.0003671221705723359
1.0,31.0,1.0,2.113614080316483,0.0001140803164827453,0.0,0.0,0.0,0.00036410447283712527
1.0,32.0,1.0,2.7612108185127324,0.0,0.0,0.0,0.0,0.0003610748563411557
1.0,33.0,1.0,2.814169804212059,0.008042961088223777,0.0,0.0,0.0,0.0003587183501464383
1.0,34.0,1.0,2.859335698724533,0.0310574713394014,0.0,0.0,0.0,0.0003524884985183266
1.0,35.0,1.0,2.8951706892935642,0.06689246190843257,0.0,0.0,0.0,0.00034295903966567997
1.0,36.0,1.0,2.918185199544742,0.11205835642090678,0.0,0.0,0.0,0.00033106212428458324
1.0,37.0,1.0,2.9262281606329656,0.16501734212023322,0.0,0.0,0.0,0.0003172157070852349
1.0,38.0,1.0,2.926114080316483,0.29986408031648293,0.0,0.0,0.0,0.000282073487106232
1.0,39.0,1.0,2.926114080316483,0.43761408031648275,0.0,0.0,0.0,0.00024615204449698
1.0,40.0,1.0,2.926114080316483,0.5753640803164828,0.0,0.0,0.0,0.0002102013780450787
1.0,41.0,1.0,2.926114080316483,0.7131140803164828,0.0,0.0,0.0,0.00017419183219056182
2.0,1.0,1.0,5.9261140803164825,2.213114080316483,0.0,0.0,0.0,-0.0001545549884533563
2.0,2.0,1.0,5.9261140803164825,2.350864080316483,0.0,0.0,0.0,-0.00019298714495265214
2.0,3.0,1.0,5.9261140803164825,2.488614080316483,0.0,0.0,0.0,-0.00023139844881811742
2.0,4.0,1.0,5.9261140803164825,2.626364080316483,0.0,0.0,0.0,-0.0002698127442558815
2.0,5.0,1.0,5.926228160632966,2.7612108185127324,0.0,0.0,0.0,-0.00030741855454322807
2.0,6.0,1.0,5.918185199544742,2.8141698042120584,0.0,0.0,0.0,-0.00032223759493271264
2.0,7.0,1.0,5.895170689293565,2.859335698724533,0.0,0.0,0.0,-0.0003349813067121442
2.0,8.0,1.0,5.859335698724533,2.8951706892935642,0.0,0.0,0.0,-0.0003452116900047706
2.0,9.0,1.0,5.814169804212058,2.918185199544742,0.0,0.0,0.0,-0.0003519360349197067
2.0,10.0,1.0,5.7612108185127315,2.9262281606329656,0.0,0.0,0.0,-0.0003545494494841286
2.0,11.0,1.0,5.1136140803164825,2.926114080316483,0.0,0.0,0.0,-0.0003592038629353089
2.0,12.0,1.0,4.463114080316483,2.926114080316483,0.0,0.0,0.0,-0.0003640990918915913
2.0,13.0,1.0,3.8126140803164827,2.926114080316483,0.0,0.0,0.0,-0.0003694625141825253
2.0,14.0,1.0,3.1650173421202332,2.9262281606329656,0.0,0.0,0.0,-0.0003755621527689704
2.0,15.0,1.0,3.112058356420907,2.918185199544742,0.0,0.0,0.0,-0.00037399040420970183
2.0,16.0,1.0,3.0668924619084326,2.8951706892935642,0.0,0.0,0.0,-0.00036842626449575964
2.0,17.0,1.0,3.0310574713394014,2.859335698724533,0.0,0.0,0.0,-0.0003594426628766895
2.0,18.0,1.0,3.0080429610882238,2.8141698042120584,0.0,0.0,0.0,-0.00034793852530650094
2.0,19.0,1.0,3.0,2.7612108185127324,0.0,0.0,0.0,-0.0003343112512295349
2.0,20.0,1.0,3.0001140803164827,2.113614080316483,0.0,0.0,0.0,-0.0001675383758993034
