shape,i,j,x,y,z,ux,uy,uz
1.0,1.0,1.0,2.926114080316483,2.213114080316483,0.0,0.0,0.0,0.0046088996140656235
1.0,2.0,1.0,2.926114080316483,2.350864080316483,0.0,0.0,0.0,0.005580657555769767
1.0,3.0,1.0,2.926114080316483,2.488614080316483,0.0,0.0,0.0,0.006556286203012635
1.0,4.0,1.0,2.926114080316483,2.626364080316483,0.0,0.0,0.0,0.007535496078422162
1.0,5.0,1.0,2.9262281606329656,2.7612108185127324,0.0,0.0,0.0,0.008496581910192659
1.0,6.0,1.0,2.918185199544742,2.8141698042120584,0.0,0.0,0.0,0.008875716224445765
1.0,7.0,1.0,2.8951706892935642,2.859335698724533,0.0,0.0,0.0,0.009192431781605387
1.0,8.0,1.0,2.859335698724533,2.8951706892935642,0.0,0.0,0.0,0.00944195144788394
1.0,9.0,1.0,2.814169804212059,2.918185199544742,0.0,0.0,0.0,0.009601182664341571
1.0,10.0,1.0,2.761210818512732,2.9262281606329656,0.0,0.0,0.0,0.00964824372084213
1.0,11.0,1.0,2.113614080316483,2.926114080316483,0.0,0.0,0.0,0.009619307190316034
1.0,12.0,1.0,1.4631140803164828,2.926114080316483,0.0,0.0,0.0,0.009678128876779116
1.0,13.0,1.0,0.8126140803164827,2.926114080316483,0.0,0.0,0.0,0.009811330614894727
1.0,14.0,1.0,0.16501734212023322,2.9262281606329656,0.0,0.0,0.0,0.010010692044338751
1.0,15.0,1.0,0.11205835642090678,2.918185199544742,0.0,0.0,0.0,0.009969218305251767
1.0,16.0,1.0,0.06689246190843257,2.8951706892935642,0.0,0.0,0.0,0.00981476630209894
1.0,17.0,1.0,0.0310574713394014,2.859335698724533,0.0,0.0,0.0,0.009565804790721557
1.0,18.0,1.0,0.008042961088223777,2.8141698042120584,0.0,0.0,0.0,0.009249865618819715
1.0,19.0,1.0,0.0,2.7612108185127324,0.0,0.0,0.0,0.008881395838454941
1.0,20.0,1.0,0.0001140803164827453,2.113614080316483,0.0,0.0,0.0,0.004429569510477132
1.0,21.0,1.0,0.0001140803164827453,1.4631140803164828,0.0,0.0,0.0,-8.678148918946082e-6
1.0,22.0,1.0,0.0001140803164827453,0.8126140803164827,0.0,0.0,0.0,-0.004446822582389855
1.0,23.0,1.0,0.0,0.16501734212023322,0.0,0.0,0.0,-0.008898381465018559
1.0,24.0,1.0,0.008042961088223777,0.11205835642090678,0.0,0.0,0.0,-0.009266713469090505
1.0,25.0,1.0,0.0310574713394014,0.06689246190843257,0.0,0.0,0.0,-0.009582315764772682
1.0,26.0,1.0,0.06689246190843257,0.0310574713394014,0.0,0.0,0.0,-0.00983076919724749
1.0,27.0,1.0,0.11205835642090678,0.008042961088223777,0.0,0.0,0.0,-0.009984588403106646
1.0,28.0,1.0,0.16501734212023322,0.0,0.0,0.0,0.0,-0.010025323581065832
1.0,29.0,1.0,0.8126140803164827,0.0001140803164827453,0.0,0.0,0.0,-0.00981691215906547
1.0,30.0,1.0,1.4631140803164828,0.0001140803164827453,0.0,0.0,0.0,-0.009674537428287897
1.0,31.0,1.0,2.113614080316483,0.0001140803164827453,0.0,0.0,0.0,-0.009606441047428827
1.0,32.0,1.0,2.7612108185127324,0.0,0.0,0.0,0.0,-0.009626166808601906
1.0,33.0,1.0,2.814169804212059,0.008042961088223777,0.0,0.0,0.0,-0.009578543354581675
1.0,34.0,1.0,2.859335698724533,0.0310574713394014,0.0,0.0,0.0,-0.009418706444320402
1.0,35.0,1.0,2.8951706892935642,0.06689246190843257,0.0,0.0,0.0,-0.009167873232055328
1.0,36.0,1.0,2.918185199544742,0.11205835642090678,0.0,0.0,0.0,-0.008850437174790792
1.0,37.0,1.0,2.9262281606329656,0.16501734212023322,0.0,0.0,0.0,-0.00847356446157064
1.0,38.0,1.0,2.926114080316483,0.29986408031648293,0.0,0.0,0.0,-0.007510341134164907
1.0,39.0,1.0,2.926114080316483,0.43761408031648275,0.0,0.0,0.0,-0.006531736202023079
1.0,40.0,1.0,2.926114080316483,0.5753640803164828,0.0,0.0,0.0,-0.0055560393061839745
1.0,41.0,1.0,2.926114080316483,0.7131140803164828,0.0,0.0,0.0,-0.004583999888803629
2.0,1.0,1.0,5.9261140803164825,2.213114080316483,0.0,0.0,0.0,0.005072457668656254
2.0,2.0,1.0,5.9261140803164825,2.350864080316483,0.0,0.0,0.0,0.00595806525646165
2.0,3.0,1.0,5.9261140803164825,2.488614080316483,0.0,0.0,0.0,0.006843282498857703
2.0,4.0,1.0,5.9261140803164825,2.626364080316483,0.0,0.0,0.0,0.007729022778388208
2.0,5.0,1.0,5.926228160632966,2.7612108185127324,0.0,0.0,0.0,0.00859714983224896
2.0,6.0,1.0,5.918185199544742,2.8141698042120584,0.0,0.0,0.0,0.00893633776268244
2.0,7.0,1.0,5.895170689293565,2.859335698724533,0.0,0.0,0.0,0.009221455818738136
2.0,8.0,1.0,5.859335698724533,2.8951706892935642,0.0,0.0,0.0,0.009443107165266178
2.0,9.0,1.0,5.814169804212058,2.918185199544742,0.0,0.0,0.0,0.009579663939494741
2.0,10.0,1.0,5.7612108185127315,2.9262281606329656,0.0,0.0,0.0,0.00961777624343509
2.0,11.0,1.0,5.1136140803164825,2.926114080316483,0.0,0.0,0.0,0.009475990576791372
2.0,12.0,1.0,4.463114080316483,2.926114080316483,0.0,0.0,0.0,0.009390403966053095
2.0,13.0,1.0,3.8126140803164827,2.926114080316483,0.0,0.0,0.0,0.009370558129721308
2.0,14.0,1.0,3.1650173421202332,2.9262281606329656,0.0,0.0,0.0,0.00942653356870586
2.0,15.0,1.0,3.112058356420907,2.918185199544742,0.0,0.0,0.0,0.009378828030116356
2.0,16.0,1.0,3.0668924619084326,2.8951706892935642,0.0,0.0,0.0,0.009228133523613435
2.0,17.0,1.0,3.0310574713394014,2.859335698724533,0.0,0.0,0.0,0.008991233258853816
2.0,18.0,1.0,3.0080429610882238,2.8141698042120584,0.0,0.0,0.0,0.008693224607124761
2.0,19.0,1.0,3.0,2.7612108185127324,0.0,0.0,0.0,0.008345416084949889
2.0,20.0,1.0,3.0001140803164827,2.113614080316483,0.0,0.0,0.0,0.0041665038952541054
2.0,21.0,1.0,3.0001140803164827,1.4631140803164828,0.0,0.0,0.0,1.1309898214257451e-5
2.0,22.0,1.0,3.0001140803164827,0.8126140803164827,0.0,0.0,0.0,-0.004144529443496028
2.0,23.0,1.0,3.0,0.16501734212023322,0.0,0.0,0.0,-0.008325726267373717
2.0,24.0,1.0,3.0080429610882238,0.11205835642090678,0.0,0.0,0.0,-0.008672372366292667
2.0,25.0,1.0,3.0310574713394014,0.06689246190843257,0.0,0.0,0.0,-0.008970874082283566
2.0,26.0,1.0,3.0668924619084326,0.0310574713394014,0.0,0.0,0.0,-0.009208036346626747
2.0,27.0,1.0,3.112058356420907,0.008042961088223777,0.0,0.0,0.0,-0.009358196224229821
2.0,28.0,1.0,3.1650173421202332,0.0,0.0,0.0,0.0,-0.009405215951426833
2.0,29.0,1.0,3.8126140803164827,0.0001140803164827453,0.0,0.0,0.0,-0.009342634413122233
2.0,30.0,1.0,4.463114080316483,0.0001140803164827453,0.0,0.0,0.0,-0.00935536409601627
2.0,31.0,1.0,5.1136140803164825,0.0001140803164827453,0.0,0.0,0.0,-0.009433183337364998
2.0,32.0,1.0,5.761210818512732,0.0,0.0,0.0,0.0,-0.009566774895712494
2.0,33.0,1.0,5.814169804212058,0.008042961088223777,0.0,0.0,0.0,-0.009527978390808618
2.0,34.0,1.0,5.859335698724533,0.0310574713394014,0.0,0.0,0.0,-0.009390838604070074
2.0,35.0,1.0,5.895170689293565,0.06689246190843257,0.0,0.0,0.0,-0.00916872759274816
2.0,36.0,1.0,5.918185199544742,0.11205835642090678,0.0,0.0,0.0,-0.008883320677102877
2.0,37.0,1.0,5.926228160632966,0.16501734212023322,0.0,0.0,0.0,-0.008544044935668607
2.0,38.0,1.0,5.9261140803164825,0.29986408031648293,0.0,0.0,0.0,-0.007675959950936087
2.0,39.0,1.0,5.9261140803164825,0.43761408031648275,0.0,0.0,0.0,-0.006790244700380783
2.0,40.0,1.0,5.9261140803164825,0.5753640803164828,0.0,0.0,0.0,-0.005905038395887577
2.0,41.0,1.0,5.9261140803164825,0.7131140803164828,0.0,0.0,0.0,-0.005019436471745158
1.0,1.0,2.0,2.926114080316483,2.213114080316483,0.5,-7.918572490562412e-5,-0.0034926578496814586,0.004601714802892516
1.0,2.0,2.0,2.926114080316483,2.350864080316483,0.5,-9.311675283829943e-5,-0.0034926578496814586,0.005572497062649385
1.0,3.0,2.0,2.926114080316483,2.488614080316483,0.5,-0.00010704778077097474,-0.0034926578496814586,0.006546164080471089
1.0,4.0,2.0,2.926114080316483,2.626364080316483,0.5,-0.00012097880870365005,-0.0034926578496814586,0.0075242594272194995
1.0,5.0,2.0,2.9262281606329656,2.7612108185127324,0.5,-0.0001346162219627579,-0.0034926463124322718,0.008487302203889728
1.0,6.0,2.0,2.918185199544742,2.8141698042120584,0.5,-0.00013997210660205708,-0.0034934597187159847,0.008861438525176693
1.0,7.0,2.0,2.8951706892935642,2.859335698724533,0.5,-0.0001445398549727108,-0.0034957872380275345,0.009180890154362822
1.0,8.0,2.0,2.859335698724533,2.8951706892935642,0.5,-0.00014816394393521047,-0.003499411326990034,0.009429692116126782
1.0,9.0,2.0,2.814169804212059,2.918185199544742,0.5,-0.00015049146324676036,-0.0035039790753606877,0.009583546038732349
1.0,10.0,2.0,2.761210818512732,2.9262281606329656,0.5,-0.00015130486953047337,-0.0035093349599999873,0.009637223688261148
1.0,11.0,2.0,2.113614080316483,2.926114080316483,0.5,-0.00015129333228128651,-0.0035748281596291805,0.009609636977893299
1.0,12.0,2.0,1.4631140803164828,2.926114080316483,0.5,-0.00015129333228128651,-0.003640614973931941,0.009671113077466096
1.0,13.0,2.0,0.8126140803164827,2.926114080316483,0.5,-0.00015129333228128651,-0.0037064017882347017,0.009804397047444844
1.0,14.0,2.0,0.16501734212023322,2.9262281606329656,0.5,-0.00015130486953047337,-0.003771894987863895,0.010002868972926161
1.0,15.0,2.0,0.11205835642090678,2.918185199544742,0.5,-0.00015049146324676036,-0.003777250872503194,0.00996148568223286
1.0,16.0,2.0,0.06689246190843257,2.8951706892935642,0.5,-0.00014816394393521047,-0.0037818186208738477,0.00980725023190423
1.0,17.0,2.0,0.0310574713394014,2.859335698724533,0.5,-0.0001445398549727108,-0.0037854427098363477,0.0095585673525428
1.0,18.0,2.0,0.008042961088223777,2.8141698042120584,0.5,-0.00013997210660205708,-0.0037877702291478975,0.009242923807928082
1.0,19.0,2.0,0.0,2.7612108185127324,0.5,-0.0001346162219627579,-0.0037885836354316104,0.0088747573273951
1.0,20.0,2.0,0.0001140803164827453,2.113614080316483,0.5,-6.912302233356465e-5,-0.0037885720981824236,0.004426444095180189
1.0,21.0,2.0,0.0001140803164827453,1.4631140803164828,0.5,-3.3362080308039347e-6,-0.0037885720981824236,-8.658960248237044e-6
1.0,22.0,2.0,0.0001140803164827453,0.8126140803164827,0.5,6.245060627195678e-5,-0.0037885720981824236,-0.004443670886469358
1.0,23.0,2.0,0.0,0.16501734212023322,0.5,0.00012794380590115003,-0.0037885836354316104,-0.008891733673873563
1.0,24.0,2.0,0.008042961088223777,0.11205835642090678,0.5,0.00013329969054044926,-0.0037877702291478975,-0.009259765937252605
1.0,25.0,2.0,0.0310574713394014,0.06689246190843257,0.5,0.00013786743891110292,-0.0037854427098363477,-0.00957507457176171
1.0,26.0,2.0,0.06689246190843257,0.0310574713394014,0.5,0.0001414915278736026,-0.0037818186208738477,-0.00982325012898255
1.0,27.0,2.0,0.11205835642090678,0.008042961088223777,0.5,0.00014381904718515249,-0.003777250872503194,-0.009976853328202681
1.0,28.0,2.0,0.16501734212023322,0.0,0.5,0.0001446324534688655,-0.003771894987863895,-0.010017498882947657
1.0,29.0,2.0,0.8126140803164827,0.0001140803164827453,0.5,0.00014462091621967864,-0.0037064017882347017,-0.009809983036622328
1.0,30.0,2.0,1.4631140803164828,0.0001140803164827453,0.5,0.00014462091621967864,-0.003640614973931941,-0.00966752318327158
1.0,31.0,2.0,2.113614080316483,0.0001140803164827453,0.5,0.00014462091621967864,-0.0035748281596291805,-0.00959677539501259
1.0,32.0,2.0,2.7612108185127324,0.0,0.5,0.0001446324534688655,-0.003509334959999987,-0.009615096810096544
1.0,33.0,2.0,2.814169804212059,0.008042961088223777,0.5,0.00014381904718515249,-0.0035039790753606877,-0.009560489595545608
1.0,34.0,2.0,2.859335698724533,0.0310574713394014,0.5,0.0001414915278736026,-0.003499411326990034,-0.009405976920893117
1.0,35.0,2.0,2.8951706892935642,0.06689246190843257,0.5,0.00013786743891110292,-0.0034957872380275345,-0.00915751335706733
1.0,36.0,2.0,2.918185199544742,0.11205835642090678,0.5,0.00013329969054044926,-0.0034934597187159847,-0.008838211777072585
1.0,37.0,2.0,2.9262281606329656,0.16501734212023322,0.5,0.00012794380590115003,-0.0034926463124322718,-0.008461131104584194
1.0,38.0,2.0,2.926114080316483,0.29986408031648293,0.5,0.00011430639264204216,-0.0034926578496814586,-0.007500286917390813
1.0,39.0,2.0,2.926114080316483,0.43761408031648275,0.5,0.00010037536470936687,-0.0034926578496814586,-0.006521315795010816
1.0,40.0,2.0,2.926114080316483,0.5753640803164828,0.5,8.644433677669156e-5,-0.0034926578496814586,-0.00554749828040435
1.0,41.0,2.0,2.926114080316483,0.7131140803164828,0.5,7.251330884401624e-5,-0.0034926578496814586,-0.004576928846507631
2.0,1.0,2.0,5.9261140803164825,2.213114080316483,0.5,-7.918572490562412e-5,-0.003189259782182178,0.005074634045450566
2.0,2.0,2.0,5.9261140803164825,2.350864080316483,0.5,-9.311675283829943e-5,-0.003189259782182178,0.005958657205691408
2.0,3.0,2.0,5.9261140803164825,2.488614080316483,0.5,-0.00010704778077097474,-0.003189259782182178,0.006842705359034191
2.0,4.0,2.0,5.9261140803164825,2.626364080316483,0.5,-0.00012097880870365005,-0.003189259782182178,0.007727051937747791
2.0,5.0,2.0,5.926228160632966,2.7612108185127324,0.5,-0.0001346162219627579,-0.003189248244932991,0.008593791418592922
2.0,6.0,2.0,5.918185199544742,2.8141698042120584,0.5,-0.00013997210660205708,-0.003190061651216704,0.008932418502748838
2.0,7.0,2.0,5.895170689293565,2.859335698724533,0.5,-0.0001445398549727108,-0.0031923891705282537,0.009216995965710885
2.0,8.0,2.0,5.859335698724533,2.8951706892935642,0.5,-0.00014816394393521047,-0.0031960132594907533,0.009438135739247618
2.0,9.0,2.0,5.814169804212058,2.918185199544742,0.5,-0.00015049146324676036,-0.003200581007861407,0.00957427821184072
2.0,10.0,2.0,5.7612108185127315,2.9262281606329656,0.5,-0.00015130486953047337,-0.0032059368925007065,0.00961218778262649
2.0,11.0,2.0,5.1136140803164825,2.926114080316483,0.5,-0.00015129333228128651,-0.0032714300921298997,0.00946995593166304
2.0,12.0,2.0,4.463114080316483,2.926114080316483,0.5,-0.00015129333228128651,-0.0033372169064326603,0.009383907853069242
2.0,13.0,2.0,3.8126140803164827,2.926114080316483,0.5,-0.00015129333228128651,-0.003403003720735421,0.009362597189113591
2.0,14.0,2.0,3.1650173421202332,2.9262281606329656,0.5,-0.00015130486953047337,-0.003468496920364614,0.00941653266884185
2.0,15.0,2.0,3.112058356420907,2.918185199544742,0.5,-0.00015049146324676036,-0.0034738528050039133,0.009369015185461408
