z_in,beta_C1_over_betao,beta_C2_over_betao,welded_station
0.0,0.0,0.0,0
0.5,0.0016350150668792206,0.004578337662333501,1
1.0,0.0034043725665583464,0.009028880089576549,1
1.5,0.0052021532152929425,0.013478824254831623,1
2.0,0.006989199878514638,0.017937340165787716,1
2.5,0.008772320226931486,0.022411619610098143,1
3.0,0.010680928741588405,0.026903171168706462,1
3.5,0.013616932941502326,0.0313972797733162,0
4.0,0.01705197297287752,0.035811235948648525,0
4.5,0.020846900067937497,0.040128527639884594,0
5.0,0.024998327840160574,0.04437178820861075,0
5.5,0.029492960292063528,0.04852905885923633,0
6.0,0.03430153128437613,0.052611346273778246,0
6.5,0.03939984160007824,0.056627534882070056,0
7.0,0.04475714721453783,0.060591342816314266,0
7.5,0.05034316140458451,0.06451460323290782,0
8.0,0.05612617578595046,0.06840912485324335,0
8.5,0.062074619899819904,0.07228514421538733,0
9.0,0.06815650640091281,0.07615211586827272,0
9.5,0.07433982448522808,0.08001852620456813,0
10.0,0.08059236776677847,0.08389230275401344,0
10.5,0.08688186805583081,0.08778093044035776,0
11.0,0.09317598814274759,0.0916917032899092,0
11.5,0.09944238539438933,0.09563191042773796,0
12.0,0.10564877543702096,0.09960901980435079,0
12.5,0.11176292877266517,0.10363092499539522,0
13.0,0.11775280632908519,0.10770605192295174,0
13.5,0.12358639500921256,0.11184376241030644,0
14.0,0.12923209667283447,0.11605415898096143,0
14.5,0.13465818718260197,0.120348901403506,0
15.0,0.13983436102511365,0.12473968621301128,0
15.5,0.14472991966019189,0.12924029736969608,0
16.0,0.14932084522229844,0.13386000301650416,0
16.5,0.15357884763500712,0.13861147162659937,0
17.0,0.15749179061199498,0.1434854288527427,0
17.5,0.16106241916188918,0.14851688237979052,0
18.0,0.16413727059406527,0.15365987510972867,1
18.5,0.16611762493050966,0.1587094174938281,1
19.0,0.16795690678511213,0.16376096065235368,1
19.5,0.1697911409093497,0.168815494081394,1
20.0,0.1716261933937797,0.17387507348730277,1
20.5,0.1734676870347224,0.17894190260737514,1
21.0,0.17544870681008193,0.18401740649472031,1
21.5,0.17850426396466335,0.18919880703182637,0
22.0,0.18204871152240573,0.19427702960610638,0
22.5,0.18593520037520114,0.19920665859732947,0
23.0,0.19016597688079545,0.20402426280102082,0
23.5,0.19472883692341916,0.2087215133365585,0
24.0,0.19959549910459717,0.21331199565816394,0
24.5,0.20474225831497672,0.2178057594346153,0
25.0,0.21013883092939026,0.2222173957153242,0
25.5,0.21575541037727755,0.2265594233592238,0
26.0,0.22156080441302428,0.2308443800815023,0
26.5,0.22752397265595917,0.23508329336154046,0
27.0,0.2336134709340081,0.2392865018367701,0
27.5,0.23979783675934116,0.24346345196341893,0
28.0,0.24604541971282867,0.24762309727032003,0
28.5,0.25232451537838085,0.2517739968701918,0
29.0,0.2586033604322278,0.2559245542042524,0
29.5,0.26485019670539645,0.2600831907411157,0
30.0,0.27103333540455615,0.2642585199286471,0
30.5,0.27712115239365337,0.268459586233515,0
31.0,0.28308222288382884,0.2726959646754678,0
31.5,0.28888515250233837,0.27697816069492265,0
32.0,0.2944989651742905,0.28131740888416,0
32.5,0.2998925492420902,0.2857264934393502,0
33.0,0.3050362021873487,0.2902182208131064,0
33.5,0.3098997714185564,0.29480749785548144,0
34.0,0.31445972996586397,0.29950471427178593,0
34.5,0.3186880048652363,0.3043237620059019,0
35.0,0.3225726972316298,0.30925659764708807,0
35.5,0.3261161859431274,0.31434003181720876,0
36.0,0.3291722153746905,0.319528322902156,1
36.5,0.3311564451235606,0.32461181068828715,1
37.0,0.33300178286693327,0.3296899088141017,1
37.5,0.33484137774563283,0.33476444365591396,1
38.0,0.336680980596683,0.3398381053524996,1
38.5,0.33852639817523045,0.3449135718776638,1
39.0,0.34051126862128184,0.3499926153744188,1
39.5,0.3435712251821666,0.35517356853801674,0
40.0,0.347119504974249,0.36024806835602696,0
40.5,0.35100890034919136,0.36517054146270883,0
41.0,0.3552418865073245,0.36997760159852017,0
41.5,0.3598066078627965,0.37466113061696377,0
42.0,0.3646750046046362,0.3792349896373903,0
42.5,0.36982352844569283,0.38370957629163427,0
43.0,0.37522198718994904,0.38809982745488936,0
43.5,0.38084063168868415,0.3924185985340809,0
44.0,0.3866483019790553,0.39667873713279816,0
44.5,0.3926139750906807,0.4008915553769471,0
45.0,0.39870621278849566,0.40506764985835897,0
45.5,0.4048935505567365,0.40921670102783775,0
46.0,0.4111443293535431,0.41334787369267184,0
46.5,0.41742683086586185,0.41746991751402873,0
47.0,0.4237092732556129,0.4215914070735553,0
47.5,0.42995987581913014,0.42572091697499287,0
48.0,0.43614692361802154,0.429867196910845,0
48.5,0.4422387631478148,0.43403941179539207,0
49.0,0.44820393742429465,0.4382472422065406,0
49.5,0.45401101747287537,0.44250128515180365,0
50.0,0.45962899081304875,0.4468128534107758,0
50.5,0.46502670844197547,0.4511947967396798,0
51.0,0.4701744312970819,0.4556599745712324,0
51.5,0.47504197411817517,0.4602233351326701,0
52.0,0.4796057892345167,0.4648952963389977,0
52.5,0.4838378080893638,0.46968976780427246,0
53.0,0.48772615199734337,0.4745987029575565,0
53.5,0.49127331170977645,0.47965886566301436,0
54.0,0.4943322420035311,0.48482465378454537,1
54.5,0.49631632467728354,0.4898870230983454,1
55.0,0.4981610633961783,0.4949448610777444,1
55.5,0.4999999997630374,0.4999999995415446,1
56.0,0.5018389361297926,0.5050551380054954,1
56.5,0.503683674848282,0.5101129759853597,1
57.0,0.5056677575208425,0.5151753452999889,1
57.5,0.5087266878113349,0.520341133422642,0
58.0,0.5122738475205523,0.5254012961287453,0
58.5,0.5161621914261358,0.5303102312823519,0
59.0,0.5203942102792595,0.5351047027478638,0
59.5,0.5249580253943761,0.539776663954423,0
60.0,0.5298255682146421,0.5443400245161526,0
60.5,0.5349732910692563,0.5488052023480745,0
61.0,0.5403710086980036,0.5531871456774389,0
61.5,0.5459889820382986,0.557498713936969,0
62.0,0.5517960620873075,0.5617527568828905,0
62.5,0.5577612363645176,0.565960587294796,0
63.0,0.5638530758953467,0.5701328021802015,0
63.5,0.5700401236955773,0.5742790821170183,0
64.0,0.5762907262607374,0.5784085920195273,0
64.5,0.5825731686524219,0.5825300815802411,0
65.0,0.5888556701669571,0.5866521254029105,0
65.5,0.5951064489662509,0.5907832980691963,0
