z_in,beta_C1_over_betao
0.0,0.0
0.2,0.0006466482760320208
0.4,0.0013376262771054711
0.6,0.0020895029411137005
0.8,0.002978832423289063
1.0,0.00395487219962424
1.2,0.00499482245933158
1.4,0.006030405712105999
1.6,0.006893831326751433
1.8,0.007678051145266079
2.0,0.008540856434440554
2.2,0.009287751713624112
2.4,0.010032213811059329
2.6,0.01079213940180262
2.8,0.011599380591250014
3.0,0.01256524170589669
3.2,0.01396701823771504
3.4,0.015465065700925214
3.6,0.016757442119974767
3.8,0.01803836270780233
4.0,0.019484847681677086
4.2,0.020873096940059614
4.4,0.02229418598918547
4.6,0.0237839164962441
4.8,0.025277649358508906
5.0,0.026936446236047143
5.2,0.028997270754880556
5.4,0.031107687681575024
5.6,0.03294422589073984
5.8,0.03474572851357802
6.0,0.03670938751416766
6.2,0.038592102721505955
6.4,0.04047299873732605
6.6,0.04240497880574756
6.8,0.04435160093116794
7.0,0.04645015679220122
7.2,0.04887318112499129
7.4,0.051309715426807304
7.6,0.05349560937490244
7.8,0.05563035318810418
8.0,0.057897691969554466
8.2,0.06010451558107659
8.4,0.06227878873170702
8.6,0.06448851148411032
8.8,0.0667721027380326
9.0,0.06918279138082671
9.2,0.07175733003955376
9.4,0.07430617563828046
9.6,0.07666863626635065
9.8,0.07896352194684267
10.0,0.08135196376919708
10.2,0.08371851399866967
10.4,0.08601405574814609
10.6,0.08832922534582917
10.8,0.09079733008432216
11.0,0.09336128411407553
11.2,0.09589388044571513
11.4,0.09836452320757076
11.6,0.10072848778960802
11.8,0.10300863117772625
12.0,0.10534261576149004
12.2,0.10769558977662608
12.4,0.10993774690386411
12.6,0.11218358405092278
12.8,0.11465527949711674
13.0,0.1171870622290714
13.2,0.1195091697526033
13.4,0.12173828869293042
13.6,0.12393063083504406
13.8,0.12602327455791315
14.0,0.1281363135568385
14.2,0.13029622588230283
14.4,0.1323113563784757
14.6,0.13431429553990124
14.8,0.13658417004204795
15.0,0.13887676762344142
15.2,0.140848856209343
15.4,0.14270650217016104
15.6,0.1445628007148466
15.8,0.14630458004131894
16.0,0.148046802670984
16.2,0.14982768651224362
16.4,0.15145332880145393
16.6,0.1530516124332452
16.8,0.1549005462373021
17.0,0.156740715533487
17.2,0.1582568362800835
17.4,0.15965671976242918
17.6,0.16101097372012488
17.8,0.1622233370159945
18.0,0.16337586556774847
18.2,0.16434124643803494
18.4,0.1651748218667807
18.6,0.16600476618148954
18.8,0.16702752974126878
19.0,0.1681067169798317
19.2,0.16914010611255229
19.4,0.17015028872382507
19.6,0.17105169193333575
19.8,0.17187474141334164
20.0,0.1727287190407187
20.2,0.17353943572225264
20.4,0.1743344018910896
20.6,0.17514891518684159
20.8,0.1760592671642864
21.0,0.17712202478763245
21.2,0.17857541315332165
21.4,0.18012012383240095
21.6,0.18149432767239418
21.8,0.182853028458844
22.0,0.1843541139791326
22.2,0.18582875109593186
22.4,0.18731611197785641
22.6,0.18886789051654268
22.8,0.19045086003880027
23.0,0.19218955792400652
23.2,0.19426899992175228
23.4,0.19639314389964618
23.6,0.1982690002528455
23.8,0.20010707417358092
24.0,0.2020977163227227
24.2,0.20402096670277817
24.4,0.20593326224089034
24.6,0.20789445335037396
24.8,0.2098903510127576
25.0,0.2120328161979749
25.2,0.21445605960373088
25.4,0.2168901315508156
25.6,0.21909199857667844
25.8,0.2212408722934961
26.0,0.22351647768258115
26.2,0.22573925671530112
26.4,0.2279241497893259
26.6,0.23014298909719014
26.8,0.23245046252156212
27.0,0.2348815760260486
27.2,0.2374444404343718
27.4,0.2399796350954136
27.6,0.24234212410625677
27.8,0.24463574953426173
28.0,0.24701869518101915
28.2,0.24938536168475017
28.4,0.25167733182251356
28.6,0.25398794520077705
28.8,0.2564633206665993
29.0,0.2590323909464799
29.2,0.26154479372302414
29.4,0.2639937497128156
29.6,0.26634719251015126
29.8,0.26861603109668436
30.0,0.27093540868704935
30.2,0.27327879556930357
30.4,0.2755086117148772
30.6,0.27774162431751276
30.8,0.2802110521664646
31.0,0.28273936437858016
31.2,0.2850363628888525
31.4,0.28723938044984937
31.6,0.2894157532234461
31.8,0.29149215267184525
32.0,0.29358623381541615
32.2,0.29573240759851294
32.4,0.29773162701406675
32.6,0.29971867079724784
32.8,0.3019826763187672
33.0,0.3042688462073442
33.2,0.30621527918771446
33.4,0.30804685580701835
33.6,0.3098866687313575
33.8,0.31161214176407853
34.0,0.31333547885895374
34.2,0.31510349981785235
34.4,0.3167142120675551
34.6,0.3182979036775717
34.8,0.320141129476238
35.0,0.3219749836631221
35.2,0.3234689792696116
35.4,0.32484701775442076
35.6,0.3261879787656343
35.8,0.3273886054439283
36.0,0.32852942765208787
36.2,0.3294975429807306
36.4,0.33033270529103176
36.6,0.33116504828969223
36.8,0.33219601399863424
37.0,0.33328247896371876
37.2,0.3343127521343446
37.4,0.3353196808843879
37.6,0.33622267971122693
37.8,0.33704727118339034
38.0,0.337900983239563
38.2,0.33871560205276563
38.4,0.33951210739915844
38.6,0.3403281538721503
38.8,0.3412432613647305
39.0,0.342310254797445
39.2,0.3437616343353412
39.4,0.34530461616874597
39.6,0.3466796193317482
39.8,0.34803902326129427
40.0,0.34953999347256076
40.2,0.35101608601135076
40.4,0.3525039814892357
40.6,0.35405623451835216
40.8,0.3556406286979648
41.0,0.35738049949586476
41.2,0.35945926039251047
41.4,0.3615831854548534
41.6,0.3634595036243066
41.8,0.365298063862644
42.0,0.3672891875703733
42.2,0.3692131257374931
42.4,0.37112591736283845
42.6,0.3730876164898391
42.8,0.3750837512937306
43.0,0.3772265010675838
43.2,0.379650586207286
43.4,0.3820859567480807
43.6,0.3842887187702526
43.8,0.3864385310887826
44.0,0.3887153440873529
44.2,0.39093898112838515
44.4,0.3931248025778342
44.6,0.39534458719275367
44.8,0.3976521078872299
45.0,0.4000834230615241
45.2,0.40264821588080174
45.4,0.40518568538036887
45.6,0.4075495225531761
45.8,0.4098445285759026
46.0,0.41222918740225256
46.2,0.4145970404008042
46.4,0.4168903381018689
46.6,0.4192022855231666
46.8,0.4216779196066607
47.0,0.42424742580827485
47.2,0.4267622767100103
47.4,0.4292138963088283
47.6,0.4315689692076858
47.8,0.4338394523313018
48.0,0.4361607756193467
48.2,0.43850560341475026
48.4,0.4407369763957984
48.6,0.4429715366048921
48.8,0.44544155645737277
49.0,0.44797060598496635
49.2,0.45027006776880013
49.4,0.4524756327173184
49.6,0.4546536784068123
49.8,0.45673174305517794
