series,L_in,w_length_in,n_welds,w_spacing_in,w_length_over_w_spacing,J_eff_ferrite_in4,J_equation_in4,ferrite_over_equation,sumF_over_T,ndofs,J_tube_in4,J_C_in4
A,111.0,3.0,2,108.0,0.027777777777777776,0.030861018795004275,0.05412609584511112,0.5701689418597105,6.514191117838309e-9,109716,1.8537650294240002,0.001334851
A,111.0,3.0,3,54.0,0.05555555555555555,0.11077386295559626,0.10558248969022224,1.0491688847327378,1.70120176603517e-9,109716,1.8537650294240002,0.001334851
A,111.0,3.0,4,36.0,0.08333333333333333,0.23499806793324662,0.15703888353533335,1.4964323653025249,7.728588865828281e-10,109716,1.8537650294240002,0.001334851
A,111.0,3.0,5,27.0,0.1111111111111111,0.3940817486667366,0.2084952773804445,1.8901231414831987,4.395365659816647e-10,109716,1.8537650294240002,0.001334851
A,111.0,3.0,7,18.0,0.16666666666666666,0.7677504765383301,0.31140806507066676,2.465416161794355,2.2909456522699969e-10,109716,1.8537650294240002,0.001334851
A,111.0,3.0,10,12.0,0.25,1.2788484859319647,0.46577724660600006,2.7456224949814687,1.2759008302121798e-10,109716,1.8537650294240002,0.001334851
A,111.0,3.0,13,9.0,0.3333333333333333,1.6163257692017412,0.6201464281413335,2.606361491182168,9.244074803602091e-11,109716,1.8537650294240002,0.001334851
A,111.0,3.0,19,6.0,0.5,1.9230131089544182,0.9288847912120001,2.0702385561133894,7.708347327122365e-11,109716,1.8537650294240002,0.001334851
A,111.0,3.0,37,3.0,1.0,2.066479982868228,1.8550998804240002,1.1139454024415736,6.600759782566207e-11,109716,1.8537650294240002,0.001334851
B,111.0,6.0,2,105.0,0.05714285714285714,0.03665431755290106,0.1085228550528,0.33775666457602416,5.193541188261934e-9,109716,1.8537650294240002,0.001334851
B,111.0,6.0,3,52.5,0.11428571428571428,0.14413633936541642,0.2143760081056,0.6723529402339461,1.275743557358479e-9,109716,1.8537650294240002,0.001334851
B,111.0,6.0,4,35.0,0.17142857142857143,0.3275223127592641,0.32022916115840006,1.0227747890744294,5.109639858831509e-10,109716,1.8537650294240002,0.001334851
B,111.0,6.0,6,21.0,0.2857142857142857,0.8648180633376574,0.5319354672640001,1.6257950758309698,1.7934858479811909e-10,109716,1.8537650294240002,0.001334851
B,111.0,6.0,8,15.0,0.4,1.4036038390377952,0.7436417733696,1.8874730943069078,1.0340403654661682e-10,109716,1.8537650294240002,0.001334851
B,111.0,6.0,11,10.5,0.5714285714285714,1.8643649263246247,1.061201232528,1.756843913461468,7.10013737689853e-11,109716,1.8537650294240002,0.001334851
B,111.0,6.0,16,7.0,0.8571428571428571,2.063859756720646,1.590466997792,1.2976438741488152,5.7803147363242056e-11,109716,1.8537650294240002,0.001334851
C,111.0,1.5,2,109.5,0.0136986301369863,0.028243332228578003,0.028045457868821923,1.007055486869981,7.035718419184328e-9,109716,1.8537650294240002,0.001334851
C,111.0,1.5,3,54.75,0.0273972602739726,0.09480148331621027,0.053421213737643844,1.7746036954867495,1.941162446661914e-9,109716,1.8537650294240002,0.001334851
C,111.0,1.5,4,36.5,0.0410958904109589,0.1981581408387048,0.07879696960646576,2.514793929618897,9.253054660632804e-10,109716,1.8537650294240002,0.001334851
C,111.0,1.5,5,27.375,0.0547945205479452,0.3062742699616258,0.10417272547528769,2.9400619842118036,5.923659813759757e-10,109716,1.8537650294240002,0.001334851
C,111.0,1.5,7,18.25,0.0821917808219178,0.5843635458949574,0.15492423721293153,3.7719310832674577,3.1237558498125437e-10,109716,1.8537650294240002,0.001334851
C,111.0,1.5,10,12.166666666666666,0.12328767123287672,0.9598682251248346,0.2310515048193973,4.154347429483833,1.896086664860648e-10,109716,1.8537650294240002,0.001334851
C,111.0,1.5,13,9.125,0.1643835616438356,1.2470392233043364,0.3071787724258631,4.059652994431138,1.4400333119170506e-10,109716,1.8537650294240002,0.001334851
C,111.0,1.5,19,6.083333333333333,0.24657534246575344,1.594415955611202,0.45943330763879464,3.470396963175182,1.1091268005621751e-10,109716,1.8537650294240002,0.001334851
C,111.0,1.5,37,3.0416666666666665,0.4931506849315069,1.9336156442419592,0.9161969132775891,2.1104804177135583,9.284645430886228e-11,109716,1.8537650294240002,0.001334851
D,57.0,3.0,4,18.0,0.16666666666666666,0.7813752600995189,0.31140806507066676,2.5091683477183033,5.793225219232233e-11,56580,1.8537650294240002,0.001334851
D,219.0,3.0,13,18.0,0.16666666666666666,0.7608448745257779,0.31140806507066676,2.44324075021346,9.04470584394534e-10,215988,1.8537650294240002,0.001334851
